sex,age,educ,income,religion,sg1,sg9,sc1,sc7b,pi1,pm3,vp1,vdn1b,pid1,med1
1,76.0,6,2,1,2,0,4,5,1,2,2,CVP,1,0
2,23.0,4,2,4,2,0,5,5,2,4,2,SP,2,0
1,47.0,2,2,3,2,0,4,3,2,4,2,SP,2,0
1,64.0,2,2,1,2,0,4,4,3,2,2,FDP,1,0
1,24.0,2,2,1,2,0,4,4,4,4,2,SP,2,0
1,60.0,6,2,1,2,0,4,4,3,3,2,CVP,1,0
1,32.0,6,2,1,2,0,4,5,1,1,2,SP,1,0
1,45.0,3,2,1,2,0,4,6,2,2,2,CSP,2,0
1,43.0,2,2,4,2,0,2,6,2,4,2,SP,1,0
1,58.0,2,2,4,2,0,4,4,2,2,2,SP,2,0
1,26.0,3,2,1,2,0,2,6,2,4,2,CSP,2,0
1,27.0,2,2,4,2,0,4,7,3,1,2,CVP,1,0
1,48.0,6,2,4,2,0,4,5,3,1,2,SVP,1,0
1,35.0,2,2,4,2,0,2,4,2,3,2,SP,1,0
1,27.0,2,2,4,2,0,2,2,2,3,2,FDP,1,0
1,47.0,2,2,1,2,0,2,5,2,3,2,SP,2,0
1,42.0,2,2,4,2,0,4,6,4,4,2,SP,2,0
1,43.0,3,2,4,2,0,4,6,3,1,2,FDP,1,0
1,51.0,2,2,4,2,0,4,6,2,3,2,FDP,1,0
1,26.0,2,2,4,2,0,2,4,3,2,2,SVP,2,0
1,66.0,2,2,4,2,0,4,4,2,1,2,FDP,2,0
2,58.0,2,2,1,2,0,2,6,4,1,2,FDP,2,0
2,35.0,2,2,1,2,0,2,7,3,4,2,SP,2,0
2,66.0,6,2,2,2,0,2,7,3,2,2,SP,2,0
2,50.0,4,2,4,2,0,2,2,4,4,2,FDP,2,0
1,76.0,2,2,4,2,0,8,6,4,2,2,FDP,2,0
2,21.0,2,2,4,2,0,2,7,3,2,2,FDP,2,0
2,49.0,4,2,2,2,0,2,2,4,2,2,SP,2,0
2,37.0,3,2,4,2,0,2,6,4,2,2,SP,2,0
2,69.0,7,2,4,2,0,2,6,4,4,2,SP,2,0
2,30.0,2,2,4,2,0,2,7,4,1,2,PdA,2,0
2,57.0,2,2,3,2,0,2,2,3,1,2,SP,2,0
2,22.0,7,2,2,2,0,5,0,2,4,2,SVP,1,0
2,50.0,2,2,4,2,0,2,6,2,3,2,FDP,2,0
